"","Fecha","Prec","pet","Q"
"516","12/01/2000",143.4542857,97.71028571,31.32
"517","01/01/2001",241.042,78.641,302.66
"518","02/01/2001",236.0282857,72.18485714,272.3
"519","03/01/2001",248.2368571,87.21157143,349.53
"520","04/01/2001",110.6365714,92.19971429,146.09
"521","05/01/2001",18.32585714,76.80842857,59.77
"522","06/01/2001",0.983142857,63.08142857,30.97
"523","07/01/2001",1.185,61.10114286,15.3
"524","08/01/2001",7.789428571,86.29142857,11.05
"525","09/01/2001",12.65471429,93.522,10.93
"526","10/01/2001",37.83871429,107.2201429,13.61
"527","11/01/2001",46.91457143,102.6704286,15.44
"528","12/01/2001",78.76828571,99.24157143,23.94
"529","01/01/2002",117.9188571,94.47228571,86.6
"530","02/01/2002",244.1531429,66.83028571,252.49
"531","03/01/2002",225.5937143,84.561,303.64
"532","04/01/2002",64.94857143,83.34457143,177.33
"533","05/01/2002",15.99914286,77.86585714,79.49
"534","06/01/2002",0.763571429,60.46285714,26.85
"535","07/01/2002",6.725428571,53.07757143,19.57
"536","08/01/2002",3.324,85.177,15.14
"537","09/01/2002",28.43571429,90.30885714,14.37
"538","10/01/2002",89.04957143,101.5964286,16.28
"539","11/01/2002",66.89042857,103.1517143,67.98
"540","12/01/2002",137.3857143,89.81557143,135.61
"541","01/01/2003",172.816,89.37814286,245.36
"542","02/01/2003",125.7734286,71.527,277.95
"543","03/01/2003",159.8511429,85.32742857,289.59
"544","04/01/2003",48.09228571,83.00142857,204.17
"545","05/01/2003",23.03171429,76.13985714,54.04
"546","06/01/2003",0.604,63.26142857,37.64
"547","07/01/2003",2.270428571,66.43685714,30.56
"548","08/01/2003",5.097428571,72.158,NA
"549","09/01/2003",27.80942857,91.57428571,20.19
"550","10/01/2003",25.20471429,108.5524286,16.33
"551","11/01/2003",30.15885714,107.5687143,13.13
"552","12/01/2003",111.3774286,91.63614286,21.82
"553","01/01/2004",196.4287143,85.554,310.11
"554","02/01/2004",136.5705714,74.38528571,NA
"555","03/01/2004",64.778,86.02357143,102.54
"556","04/01/2004",26.33157143,85.21485714,91.36
"557","05/01/2004",2.913857143,80.37014286,56.26
"558","06/01/2004",2.111285714,58.39185714,21.91
"559","07/01/2004",4.325,51.52985714,17.24
"560","08/01/2004",11.49914286,87.43871429,13.24
"561","09/01/2004",31.35857143,91.93857143,11.08
"562","10/01/2004",5.102142857,112.0768571,8.5
"563","11/01/2004",34.28557143,102.7662857,9.94
"564","12/01/2004",130.2265714,96.91285714,11.68
"565","01/01/2005",86.92085714,92.03771429,59.54
"566","02/01/2005",199.5812857,71.32414286,256.28
"567","03/01/2005",92.081,82.36157143,124.25
"568","04/01/2005",44.62642857,87.65671429,106.76
"569","05/01/2005",1.478714286,82.96542857,52.78
"570","06/01/2005",0.071428571,62.27957143,18.57
"571","07/01/2005",1.604714286,53.19942857,14.58
"572","08/01/2005",0.528285714,88.757,12.67
"573","09/01/2005",24.02142857,95.42928571,6.7
"574","10/01/2005",47.47257143,104.8527143,19.82
"575","11/01/2005",44.11757143,107.9591429,21.5
"576","12/01/2005",96.34414286,87.996,21.93
"577","01/01/2006",158.0461429,84.53742857,200.69
"578","02/01/2006",143.1328571,77.23242857,168.89
"579","03/01/2006",107.878,86.29685714,106.9
"580","04/01/2006",30.16214286,83.53585714,131.23
"581","05/01/2006",4.895571429,82.115,35.22
"582","06/01/2006",0.488142857,68.22442857,17.39
